Summary Statistics of TFSA by FSA,,,,Contributions,,Withdrawals,,,,,,,,,,,,,,,,,,
PRUID,FSA,Number of Holders,FMV,(#),($),(#),($),,,,,,,,,,,,,,,,,
13,E4R,2230 ,58492000 ,1170 ,11056000 ,640 ,5118000 ,,,,,,,,,,,,,,,,,
13,E4S,1980 ,42259000 ,1050 ,8080000 ,610 ,3824000 ,,,,,,,,,,,,,,,,,
13,E4T,520 ,9654000 ,270 ,1650000 ,160 ,1035000 ,,,,,,,,,,,,,,,,,
13,E4V,1260 ,28465000 ,690 ,5764000 ,390 ,2312000 ,,,,,,,,,,,,,,,,,
13,E4W,1700 ,41340000 ,870 ,7210000 ,460 ,2924000 ,,,,,,,,,,,,,,,,,
13,E4X,700 ,15859000 ,310 ,2786000 ,200 ,1418000 ,,,,,,,,,,,,,,,,,
13,E4Y,630 ,12784000 ,300 ,2336000 ,180 ,1268000 ,,,,,,,,,,,,,,,,,
13,E4Z,1690 ,33238000 ,940 ,6904000 ,600 ,4077000 ,,,,,,,,,,,,,,,,,
13,E5A,450 ,8683000 ,230 ,1631000 ,160 ,1133000 ,,,,,,,,,,,,,,,,,
13,E5B,1410 ,44733000 ,760 ,7448000 ,400 ,3453000 ,,,,,,,,,,,,,,,,,
13,E5C,1300 ,24268000 ,690 ,4366000 ,450 ,2997000 ,,,,,,,,,,,,,,,,,
13,E5E,0 ,0 ,0 ,0 ,40 ,335000 ,,,,,,,,,,,,,,,,,
13,E5G,720 ,18363000 ,310 ,2816000 ,180 ,1366000 ,,,,,,,,,,,,,,,,,
13,E5H,800 ,15037000 ,440 ,2761000 ,280 ,1313000 ,,,,,,,,,,,,,,,,,
13,E5J,630 ,13395000 ,360 ,2403000 ,230 ,1016000 ,,,,,,,,,,,,,,,,,
13,E5K,2620 ,58258000 ,1520 ,11268000 ,890 ,5812000 ,,,,,,,,,,,,,,,,,
13,E5L,630 ,10856000 ,340 ,2110000 ,210 ,1259000 ,,,,,,,,,,,,,,,,,
13,E5M,710 ,17998000 ,390 ,3289000 ,210 ,1301000 ,,,,,,,,,,,,,,,,,
13,E5N,4240 ,90825000 ,2450 ,17908000 ,1410 ,8815000 ,,,,,,,,,,,,,,,,,
13,E5P,860 ,20426000 ,490 ,3608000 ,270 ,1987000 ,,,,,,,,,,,,,,,,,
13,E5R,430 ,8895000 ,240 ,2177000 ,160 ,1379000 ,,,,,,,,,,,,,,,,,
13,E5S,670 ,16212000 ,360 ,2585000 ,210 ,1585000 ,,,,,,,,,,,,,,,,,
13,E5T,900 ,19046000 ,520 ,3365000 ,320 ,1984000 ,,,,,,,,,,,,,,,,,
13,E5V,230 ,5300000 ,110 ,1188000 ,60 ,372000 ,,,,,,,,,,,,,,,,,
13,E6A,240 ,5118000 ,120 ,849000 ,60 ,411000 ,,,,,,,,,,,,,,,,,
13,E6B,420 ,7298000 ,200 ,1276000 ,130 ,853000 ,,,,,,,,,,,,,,,,,
13,E6C,570 ,10574000 ,320 ,2164000 ,200 ,1274000 ,,,,,,,,,,,,,,,,,
13,E6E,380 ,7634000 ,220 ,1570000 ,120 ,577000 ,,,,,,,,,,,,,,,,,
13,E6G,940 ,20880000 ,510 ,4061000 ,290 ,1839000 ,,,,,,,,,,,,,,,,,
13,E6H,380 ,9952000 ,210 ,1768000 ,120 ,743000 ,,,,,,,,,,,,,,,,,
13,E6J,280 ,5445000 ,150 ,947000 ,100 ,453000 ,,,,,,,,,,,,,,,,,
13,E6K,1370 ,35358000 ,770 ,4917000 ,390 ,2606000 ,,,,,,,,,,,,,,,,,
13,E6L,1410 ,34999000 ,770 ,5591000 ,440 ,2947000 ,,,,,,,,,,,,,,,,,
13,E7A,880 ,19000000 ,510 ,3579000 ,290 ,1862000 ,,,,,,,,,,,,,,,,,
13,E7B,1520 ,33394000 ,840 ,6090000 ,530 ,3917000 ,,,,,,,,,,,,,,,,,
13,E7C,1320 ,30493000 ,630 ,4866000 ,420 ,3223000 ,,,,,,,,,,,,,,,,,
13,E7E,780 ,19623000 ,390 ,3431000 ,230 ,1612000 ,,,,,,,,,,,,,,,,,
13,E7G,870 ,17975000 ,450 ,3063000 ,270 ,1675000 ,,,,,,,,,,,,,,,,,
13,E7H,1120 ,27081000 ,570 ,4294000 ,330 ,2760000 ,,,,,,,,,,,,,,,,,
13,E7J,530 ,13557000 ,320 ,2473000 ,190 ,1090000 ,,,,,,,,,,,,,,,,,
13,E7K,680 ,15386000 ,410 ,3199000 ,230 ,1144000 ,,,,,,,,,,,,,,,,,
13,E7L,1610 ,36073000 ,940 ,7123000 ,590 ,3205000 ,,,,,,,,,,,,,,,,,
