FSA,EmploymentIncomePP,PensionIncomePP,InvestmentIncomePP,SelfEmpIncomePP,BenefitIncomePP,OtherIncomePP,EVGradient
N0L,51679,7522,13698,14262,8091,9199,
N0M,48859,12488,17639,15138,7933,8082,
N0N,54074,8533,12312,12108,8788,8485,
N0P,42349,10478,13320,13229,8110,8356,
N0R,52204,7500,12072,15970,8854,8645,
N1A,41630,2460,10237,16376,8415,8810,
N1C,67459,420,15085,17700,8590,12358,
N1E,53399,4625,12118,17282,8504,8495,
N1G,53645,4806,18248,16063,8802,9626,
N1H,49474,5972,15509,16233,8513,9189,
N1K,48224,951,8722,14389,8276,8129,
N1L,60716,1225,18251,17576,9101,9655,
N1M,50299,2815,12667,14880,7946,8657,
N1P,53100,409,6452,16186,8646,7981,
N1R,43963,5602,13308,12560,8819,8561,
N1S,53984,2638,13717,19224,8669,9727,
N1T,54128,1466,14382,15215,9288,10022,
N2A,53485,3440,12807,18325,9225,8809,
N2B,47296,2443,8602,13135,8872,9381,
N2C,38189,2199,13479,9233,9081,8385,
N2E,45310,3288,6061,11773,9167,8501,
N2G,49609,1611,9504,15534,9399,8521,
N2H,52340,2330,10082,15275,8786,8631,
N2J,52294,2923,16636,18202,8600,8900,
N2K,68167,2410,24328,23158,8799,10287,
N2L,47543,5171,18295,17153,9036,9134,
N2M,45972,4031,13284,13285,9266,8473,
N2N,50679,2822,8666,14951,9118,9567,
N2P,55894,2173,22491,11285,8876,9924,
N2R,54718,525,9473,14652,9420,8776,
N2T,67423,2087,17327,19530,9435,10183,
N2V,68411,1178,13181,19686,9187,10002,
N2Z,61277,2810,12383,16533,8538,15408,
N3A,56275,2716,14721,15506,8208,9466,
N3B,54424,1427,17463,21297,7931,7644,
N3C,56060,2231,13621,15161,8744,9242,
N3E,53709,69,18910,12583,10260,9057,
N3H,44241,3157,12939,12934,8576,8862,
N3L,52265,2375,13582,15486,8798,9934,
N3P,43714,1165,5888,14376,9331,10022,
N3R,45350,6956,9179,16790,8798,9612,
N3S,39231,3187,5772,10699,9645,9207,
N3T,46908,4361,15921,16870,9607,9673,
N3V,52341,207,10850,12311,8564,10465,
N3W,52266,2089,10254,14437,9242,9710,
N3Y,42628,5639,12412,13146,8458,8606,
N4B,42796,1436,13861,11914,8175,9971,
N4G,43091,4705,15542,14866,7707,9228,
N4K,42492,6809,12343,16053,8609,10436,
N4L,40704,2488,13507,12652,7788,9017,
N4N,44683,2278,10727,15104,7771,9611,
N4S,44037,5179,13279,13964,8307,9605,
N4T,49634,2134,12086,17273,8670,8764,
N4V,45506,583,8001,12094,8545,7136,
N4W,46187,1687,17526,17916,7516,8185,
N4X,48547,1928,17453,10967,7469,9410,
N4Z,48901,343,9941,11913,7857,7916,
N5A,44349,6911,14354,16426,8044,8898,
N5C,46169,2215,17266,15104,8503,12344,
N5H,41217,2077,13376,17261,8051,7615,
N5L,46730,1089,16033,18772,7718,10945,
N5P,43435,3285,11190,15472,8749,8709,
N5R,43480,6092,7798,16654,8474,8270,
N5V,36908,4153,14274,9897,9328,9051,
N5W,39158,3391,4563,12139,9257,9316,
N5X,54203,5573,14442,20510,9396,9267,
N5Y,38251,4350,9189,12157,9681,16762,
N5Z,37936,2995,5684,10520,9662,8531,
N6A,57094,1781,33027,34763,9422,10819,
N6B,41133,1247,12703,16062,9834,9346,
N6C,47703,4967,13103,22244,9360,9523,
N6E,37558,3688,4301,10995,9934,8763,
N6G,51999,6539,18631,21286,9545,9317,
N6H,47506,7728,17875,17538,8901,9872,
N6J,41866,5507,10377,16307,9140,8485,
N6K,57995,7491,19565,26567,9084,10550,
N6L,48514,287,14665,15314,10041,9514,
N6M,48516,660,12050,11588,9552,8701,
N6N,52067,105,28332,13209,7827,6580,
N6P,62772,1470,24080,20777,8860,9658,
N7A,46373,3270,11542,15265,8155,8324,
N7G,46134,3306,11556,16023,7811,8397,
N7L,41706,5676,9633,14084,8685,9162,
N7M,41977,4799,15188,16096,9158,9806,
N7S,50561,5867,11212,18717,9469,8986,
N7T,38441,5688,10433,12322,9611,9350,
N7V,49675,3498,15407,22977,9262,11020,
N7W,52821,1100,8544,14629,8344,8089,
N7X,76183,255,50314,36770,9957,13415,
N8A,40383,2478,11744,12110,8621,8584,
N8H,40638,4640,16519,16563,8481,7444,
N8M,46212,2112,7560,12331,8740,9005,
N8N,54732,5051,21417,23413,9196,9601,
N8P,49195,2900,9622,20986,9938,8386,
N8R,39497,2283,5712,10074,10130,8222,
N8S,41714,5455,12932,14836,9384,9285,
N8T,34697,3278,4900,10876,9870,8185,
N8W,40479,3853,6597,11264,9808,8145,
N8X,34789,2397,6037,11373,10452,8767,
N8Y,38364,3900,12104,14440,10061,8988,
N9A,31386,3136,7691,10462,10785,9523,
N9B,29881,2209,6272,7079,10717,8537,
N9C,28570,1698,3166,7889,10306,8639,
N9E,50364,3636,11613,17448,10027,9345,
N9G,51824,2618,10396,16342,9894,9211,
N9H,59673,2109,16093,26544,9228,10259,
N9J,60044,2759,12165,26406,9282,9221,
N9K,58775,280,11754,17350,9789,9330,
N9V,50752,4029,12069,17254,8953,9777,
N9Y,50915,3214,15772,18575,8165,9540,
P0A,37297,4826,11932,11605,8663,9976,
P0B,45340,2083,26785,22876,8094,9019,
P0C,41364,1074,24459,23756,8127,10937,
P0E,43911,769,17925,13879,8888,9574,
P0G,46979,794,20684,17689,8769,10616,
P0H,46002,6373,9248,11316,9184,10024,
P0J,48471,3414,8673,13608,8640,9241,
P0K,52361,2022,6071,8767,9545,11645,
P0L,48763,2970,8332,15635,9095,9743,
P0M,50440,8815,7209,10169,9295,8334,
P0N,55671,1073,7101,11883,9918,10375,
P0P,38830,4347,9915,9545,9114,9748,
P0R,41868,3309,8337,10466,9139,9683,
P0S,47162,1853,7306,9155,9778,9245,
P0T,48852,5106,6837,9991,9520,11845,
P0V,52162,1202,8144,10017,9495,12276,
P0W,46899,965,11094,9459,8556,8496,
P0X,46814,1343,14310,15338,9170,8754,
P0Y,22800,66,0,0,12900,6650,
P1A,43130,3751,8820,15034,9695,9834,
P1B,42395,6674,9403,16374,9655,9315,
P1C,69602,526,26636,42815,9715,9374,
P1H,42205,4382,18707,19636,8366,9743,
P1L,44262,4403,16032,21430,8316,9657,
P1P,38692,2946,16873,14999,8719,9588,
P2A,41413,3470,14907,21576,8485,8683,
P2B,42840,2181,9942,14233,9578,8967,
P2N,54062,950,7776,12663,9517,9604,
P3A,46478,5474,9002,17652,9165,8001,
P3B,45922,2448,10363,16977,9728,8726,
P3C,36060,2530,7256,11895,10011,8928,
P3E,57345,5490,22793,26492,9205,9067,
P3G,66379,652,31510,20437,9085,10372,
P3L,54565,1025,12186,16163,9175,8210,
P3N,56315,1127,6482,15989,9343,8267,
P3P,56133,2057,6099,11555,8956,7940,
P3Y,59522,1306,11875,16750,9089,7876,
P4N,49509,3479,10976,25089,9486,10497,
P4P,57146,350,13035,17080,9724,10171,
P4R,61164,426,17369,14443,9169,10910,
P5A,36915,3775,6739,15813,8908,9396,
P5E,45392,1322,6732,14709,8943,8091,
P5N,45944,1714,10092,26177,9017,8874,
P6A,45145,7783,15591,17590,9830,10901,
P6B,40917,6054,10978,15636,9435,9203,
P6C,40064,3826,4997,10497,9969,9612,
P7A,46323,6149,9055,16032,9314,8815,
P7B,45487,4585,13822,18938,9278,8748,
P7C,41912,4422,7479,13962,9513,8628,
P7E,42647,4290,7035,13714,9353,8418,
P7G,57410,2013,14942,23356,9666,9765,
P7J,58919,784,15325,19393,9643,10443,
P7K,58369,1339,17801,23018,9074,8713,
P7L,52602,367,13656,15317,9442,8468,
P8N,47891,2112,10160,14852,9163,8104,
P8T,54595,541,16388,32014,10214,7887,
P9A,49818,1959,14544,14398,8907,8425,
P9N,48815,2688,10486,21951,9085,8564,
