FSA,WtdEmploymentIncome,WtdPensionIncome,WtdInvestmentIncome,WtdSelfEmpIncome,WtdBenefitIncome,WtdOtherIncome
P5A,27350501,41852055,1580832,126719,9251949,3320740
P5E,37280644,13691882,1043599,82018,2048236,1433286
P5N,61792089,17060444,1996538,296464,4129209,2070096
P6A,242361323,70138084,15992322,817632,16079814,15431555
P6B,141998897,51744409,8266362,474453,10627111,8109846
P6C,132964440,29894720,1890402,156981,11761787,6635049
P7A,194924994,57752290,7847290,659962,11229856,9917920
P7B,155032332,37342134,11147963,732078,9149146,8627108
P7C,137815071,34632161,4072172,373609,10233800,7312440
P7E,135722643,35403162,3108847,302495,10490458,6898476
P7G,135044695,19357776,9501673,627100,3023733,5580262
P7J,44302819,8224813,3053593,189253,1140584,2510303
P7K,65774172,15684074,6550186,293887,1253537,2495968
P7L,17467952,3782530,832907,149476,769036,563434
P8N,89367763,20051334,3151991,308161,3488386,3481340
P8T,55323434,4345818,2317714,362182,1247509,1302991
P9A,74834637,20142364,4189220,300618,3055583,2864874
P9N,109908205,24867134,5554805,739639,4132906,4326573
