FSA,Urban,EmploymentIncomePP,SelfEmpIncomePP,PensionIncomePP,InvestmentIncomePP,BenefitIncomePP,OtherIncomePP,TFSAAmountPP,EVGradient
M5A,Y,69725,22778,2136,17696,11020,11381,,
M5B,Y,59752,21140,738,10201,10841,10189,,
M5C,Y,152651,59990,192,79068,10158,20754,,
M5E,Y,109086,36208,669,72701,9755,15764,,
M5G,Y,58543,37891,2258,2943,9726,5896,,
M5H,Y,180792,66755,115,73084,10258,19754,,
M5J,Y,103110,30055,854,27268,10094,13431,,
M5K,Y,252956,313233,12,182100,12300,26600,,
M5L,Y,220250,0,2,94067,0,5950,,
M5M,Y,122775,75673,1582,43589,9775,14281,,
M5N,Y,107268,66623,1083,55496,10153,14286,,
M5P,Y,125804,56599,1572,72660,9767,15955,,
M5R,Y,114780,48591,2277,75536,10174,17806,,
M5S,Y,75751,27723,1426,40891,9782,14081,,
M5T,Y,54659,15795,993,13938,10999,10350,,
M5V,Y,89867,24550,1073,20097,10386,11588,,
M5W,Y,110360,17550,10,45680,10067,7340,,
M5X,Y,170333,342700,25,365980,0,0,,
M6A,Y,45740,12606,1864,27773,10322,9801,,
M6B,Y,58124,33415,2469,27443,9644,9767,,
M6C,Y,75916,43664,1704,27612,10095,10837,,
M6E,Y,46851,13985,3073,8395,9715,8431,,
M6G,Y,72805,29294,2297,19346,9857,10747,,
M6H,Y,56753,17835,2981,12807,9934,9046,,
M6J,Y,82583,28364,1186,16004,9899,11025,,
M6K,Y,61301,16816,1264,9723,10988,9740,,
M6L,Y,41459,10083,2382,10982,9790,9057,,
M6M,Y,40216,9832,3388,5536,10344,8729,,
M6N,Y,44293,11981,3433,5065,10078,8609,,
M6P,Y,71798,22845,2679,14152,10092,10032,,
M6R,Y,86272,34912,985,21361,9952,11003,,
M6S,Y,93102,38602,2576,22225,9665,11186,,
M8V,Y,63285,18480,3717,19631,10338,10733,,
M8W,Y,61040,17568,1985,11985,9766,9604,,
M8X,Y,131612,80218,1276,51106,9206,20617,,
M8Y,Y,75430,28900,1563,17704,10001,11820,,
M8Z,Y,75583,27240,1467,15326,9415,9723,,
M9A,Y,80007,44895,3659,43519,10068,12880,,
M9B,Y,66696,21405,3392,17703,9882,10701,,
M9C,Y,56556,15419,5314,12863,9685,9412,,
M9L,Y,37693,7915,1333,8702,9839,8479,,
M9M,Y,38870,8214,1821,6983,10071,8840,,
M9N,Y,42097,10253,2213,6154,10511,9590,,
M9P,Y,54847,16987,3082,16977,9600,9125,,
M9R,Y,45558,10566,4254,10183,10410,9373,,
M9V,Y,34142,6712,4358,4949,10615,8954,,
M9W,Y,39320,7717,4105,13462,10113,9505,,
N0A,N,44244,11978,8294,10986,8692,9892,,
N0B,N,62485,18089,10044,23748,7961,9839,,
N0C,N,43946,10074,2828,15388,8164,8939,,
N0E,N,47422,12267,6174,18227,8239,8894,,
N0G,N,47449,13266,12067,14085,7723,8321,,
N0H,N,51527,15712,12634,16115,8192,11799,,
N0J,N,46895,11756,3937,16851,7881,9509,,
N0K,N,45792,13083,2949,16197,7412,7069,,
N0L,N,51679,14262,7522,13698,8091,9199,,
N0M,N,48859,15138,12488,17639,7933,8082,,
N0N,N,54074,12108,8533,12312,8788,8485,,
N0P,N,42349,13229,10478,13320,8110,8356,,
N0R,N,52204,15970,7500,12072,8854,8645,,
N1A,Y,41630,16376,2460,10237,8415,8810,,
N1C,Y,67459,17700,420,15085,8590,12358,,
N1E,Y,53399,17282,4625,12118,8504,8495,,
N1G,Y,53645,16063,4806,18248,8802,9626,,
N1H,Y,49474,16233,5972,15509,8513,9189,,
N1K,Y,48224,14389,951,8722,8276,8129,,
N1L,Y,60716,17576,1225,18251,9101,9655,,
N1M,Y,50299,14880,2815,12667,7946,8657,,
N1P,Y,53100,16186,409,6452,8646,7981,,
N1R,Y,43963,12560,5602,13308,8819,8561,,
N1S,Y,53984,19224,2638,13717,8669,9727,,
N1T,Y,54128,15215,1466,14382,9288,10022,,
N2A,Y,53485,18325,3440,12807,9225,8809,,
N2B,Y,47296,13135,2443,8602,8872,9381,,
N2C,Y,38189,9233,2199,13479,9081,8385,,
N2E,Y,45310,11773,3288,6061,9167,8501,,
N2G,Y,49609,15534,1611,9504,9399,8521,,
N2H,Y,52340,15275,2330,10082,8786,8631,,
N2J,Y,52294,18202,2923,16636,8600,8900,,
N2K,Y,68167,23158,2410,24328,8799,10287,,
N2L,Y,47543,17153,5171,18295,9036,9134,,
N2M,Y,45972,13285,4031,13284,9266,8473,,
N2N,Y,50679,14951,2822,8666,9118,9567,,
N2P,Y,55894,11285,2173,22491,8876,9924,,
N2R,Y,54718,14652,525,9473,9420,8776,,
N2T,Y,67423,19530,2087,17327,9435,10183,,
N2V,Y,68411,19686,1178,13181,9187,10002,,
N2Z,Y,61277,16533,2810,12383,8538,15408,,
N3A,Y,56275,15506,2716,14721,8208,9466,,
N3B,Y,54424,21297,1427,17463,7931,7644,,
N3C,Y,56060,15161,2231,13621,8744,9242,,
N3E,Y,53709,12583,69,18910,10260,9057,,
N3H,Y,44241,12934,3157,12939,8576,8862,,
N3L,Y,52265,15486,2375,13582,8798,9934,,
N3P,Y,43714,14376,1165,5888,9331,10022,,
N3R,Y,45350,16790,6956,9179,8798,9612,,
N3S,Y,39231,10699,3187,5772,9645,9207,,
N3T,Y,46908,16870,4361,15921,9607,9673,,
N3V,Y,52341,12311,207,10850,8564,10465,,
N3W,Y,52266,14437,2089,10254,9242,9710,,
N3Y,Y,42628,13146,5639,12412,8458,8606,,
N4B,Y,42796,11914,1436,13861,8175,9971,,
N4G,Y,43091,14866,4705,15542,7707,9228,,
N4K,Y,42492,16053,6809,12343,8609,10436,,
N4L,Y,40704,12652,2488,13507,7788,9017,,
N4N,Y,44683,15104,2278,10727,7771,9611,,
N4S,Y,44037,13964,5179,13279,8307,9605,,
N4T,Y,49634,17273,2134,12086,8670,8764,,
N4V,Y,45506,12094,583,8001,8545,7136,,
N4W,Y,46187,17916,1687,17526,7516,8185,,
N4X,Y,48547,10967,1928,17453,7469,9410,,
N4Z,Y,48901,11913,343,9941,7857,7916,,
N5A,Y,44349,16426,6911,14354,8044,8898,,
N5C,Y,46169,15104,2215,17266,8503,12344,,
N5H,Y,41217,17261,2077,13376,8051,7615,,
N5L,Y,46730,18772,1089,16033,7718,10945,,
N5P,Y,43435,15472,3285,11190,8749,8709,,
N5R,Y,43480,16654,6092,7798,8474,8270,,
N5V,Y,36908,9897,4153,14274,9328,9051,,
N5W,Y,39158,12139,3391,4563,9257,9316,,
N5X,Y,54203,20510,5573,14442,9396,9267,,
N5Y,Y,38251,12157,4350,9189,9681,16762,,
N5Z,Y,37936,10520,2995,5684,9662,8531,,
N6A,Y,57094,34763,1781,33027,9422,10819,,
N6B,Y,41133,16062,1247,12703,9834,9346,,
N6C,Y,47703,22244,4967,13103,9360,9523,,
N6E,Y,37558,10995,3688,4301,9934,8763,,
N6G,Y,51999,21286,6539,18631,9545,9317,,
N6H,Y,47506,17538,7728,17875,8901,9872,,
N6J,Y,41866,16307,5507,10377,9140,8485,,
N6K,Y,57995,26567,7491,19565,9084,10550,,
N6L,Y,48514,15314,287,14665,10041,9514,,
N6M,Y,48516,11588,660,12050,9552,8701,,
