Prov/Terr,FSA,Employment Income #,Employment Income $,Pension Income #,Pension Income $,Investment Income #,Investment Income $,Self-employment Income #,Self-employment Income $,Benefits Income #,Benefits Income $,Other Income #,Other Income $,,,,,,,,,,,
12,B4B,9330 ,596875000 ,3720 ,124444000 ,4080 ,79456000 ,1180 ,26901000 ,2460 ,21405000 ,4390 ,44648000 ,,,,,,,,,,,
12,B4C,9990 ,430295000 ,5430 ,157554000 ,2690 ,18154000 ,980 ,14257000 ,4150 ,34489000 ,4270 ,36734000 ,,,,,,,,,,,
12,B4E,11130 ,551372000 ,4490 ,115584000 ,2560 ,22629000 ,1090 ,16297000 ,4230 ,35737000 ,4320 ,36065000 ,,,,,,,,,,,
12,B4G,2940 ,152857000 ,1270 ,35003000 ,840 ,6876000 ,340 ,5639000 ,1090 ,9038000 ,1140 ,10199000 ,,,,,,,,,,,
12,B4H,6180 ,247379000 ,4920 ,114049000 ,2090 ,22756000 ,730 ,9285000 ,4460 ,35367000 ,3090 ,27601000 ,,,,,,,,,,,
12,B4N,8740 ,345271000 ,5990 ,146875000 ,3010 ,41160000 ,1070 ,15383000 ,5140 ,41179000 ,4270 ,37018000 ,,,,,,,,,,,
12,B4P,3720 ,150345000 ,2830 ,88471000 ,2090 ,33037000 ,700 ,11523000 ,1890 ,14909000 ,2220 ,20126000 ,,,,,,,,,,,
12,B4R,1570 ,68543000 ,920 ,24974000 ,540 ,5342000 ,160 ,2379000 ,630 ,5061000 ,660 ,5722000 ,,,,,,,,,,,
12,B4V,10100 ,397343000 ,7880 ,189133000 ,4140 ,42767000 ,1380 ,20458000 ,6560 ,49358000 ,5020 ,41603000 ,,,,,,,,,,,
12,B5A,7870 ,280191000 ,5730 ,119212000 ,2470 ,33035000 ,1190 ,17232000 ,6040 ,51453000 ,3640 ,31464000 ,,,,,,,,,,,
12,B6L,6920 ,307279000 ,3790 ,94130000 ,2300 ,29201000 ,900 ,13084000 ,3350 ,27831000 ,3000 ,25357000 ,,,,,,,,,,,
12,B9A,2290 ,92593000 ,1520 ,38782000 ,680 ,6992000 ,190 ,1979000 ,1480 ,14738000 ,1090 ,11805000 ,,,,,,,,,,,
TOTAL,,476920 ,20958294000 ,302340 ,7842660000 ,170090 ,2536430000 ,63510 ,1030869000 ,269100 ,2386848000 ,231080 ,2153261000 ,,,,,,,,,,,
13,E1A,25920 ,1232024000 ,12010 ,333941000 ,7400 ,121991000 ,2690 ,48983000 ,11620 ,96601000 ,11540 ,94722000 ,,,,,,,,,,,
13,E1B,11290 ,494513000 ,6130 ,174478000 ,3690 ,42321000 ,1050 ,16162000 ,4790 ,39382000 ,5400 ,43751000 ,,,,,,,,,,,
13,E1C,12450 ,438520000 ,6840 ,163029000 ,3340 ,28142000 ,1320 ,19053000 ,7990 ,67793000 ,6260 ,52357000 ,,,,,,,,,,,
13,E1E,5960 ,267192000 ,3220 ,88433000 ,2120 ,33337000 ,660 ,11849000 ,2980 ,24725000 ,3000 ,24876000 ,,,,,,,,,,,
13,E1G,14000 ,687867000 ,5500 ,156011000 ,4330 ,55401000 ,1440 ,23000000 ,5370 ,46792000 ,6330 ,53761000 ,,,,,,,,,,,
13,E1H,4330 ,195002000 ,2450 ,55025000 ,1110 ,16318000 ,450 ,6755000 ,2380 ,19489000 ,1810 ,14003000 ,,,,,,,,,,,
13,E1J,2040 ,94473000 ,1030 ,27288000 ,650 ,7213000 ,270 ,4631000 ,920 ,7234000 ,850 ,7296000 ,,,,,,,,,,,
13,E1N,5420 ,218236000 ,4160 ,99921000 ,1550 ,15596000 ,430 ,5675000 ,3940 ,35609000 ,2530 ,19388000 ,,,,,,,,,,,
13,E1V,6790 ,286661000 ,4660 ,110544000 ,2020 ,28102000 ,640 ,10369000 ,4740 ,42852000 ,3310 ,28303000 ,,,,,,,,,,,
13,E1W,3610 ,135768000 ,2940 ,56047000 ,940 ,11001000 ,480 ,6521000 ,3570 ,37598000 ,1480 ,11239000 ,,,,,,,,,,,
13,E1X,7380 ,244672000 ,5200 ,88558000 ,1280 ,19271000 ,740 ,8823000 ,7940 ,85788000 ,2710 ,21598000 ,,,,,,,,,,,
13,E2A,8070 ,309462000 ,7030 ,164293000 ,2610 ,31009000 ,720 ,9947000 ,6840 ,61217000 ,4090 ,34988000 ,,,,,,,,,,,
13,E2E,10930 ,662681000 ,5430 ,179104000 ,4680 ,89409000 ,1050 ,27263000 ,3600 ,29647000 ,5590 ,54396000 ,,,,,,,,,,,
13,E2G,2920 ,166812000 ,1350 ,38224000 ,910 ,12010000 ,260 ,3847000 ,1120 ,9673000 ,1340 ,10153000 ,,,,,,,,,,,
13,E2H,2470 ,138201000 ,1340 ,42107000 ,1050 ,34387000 ,240 ,8539000 ,1160 ,10167000 ,1390 ,15306000 ,,,,,,,,,,,
13,E2J,8280 ,316428000 ,4890 ,113231000 ,1980 ,8122000 ,530 ,6886000 ,5160 ,42044000 ,4150 ,31774000 ,,,,,,,,,,,
13,E2K,8300 ,353356000 ,4770 ,126313000 ,2860 ,47090000 ,720 ,9926000 ,5030 ,42884000 ,4730 ,42517000 ,,,,,,,,,,,
13,E2L,3820 ,148811000 ,2080 ,43562000 ,1090 ,14872000 ,390 ,6002000 ,3080 ,26912000 ,2240 ,18964000 ,,,,,,,,,,,
13,E2M,9780 ,437427000 ,5870 ,160449000 ,2930 ,24293000 ,700 ,9512000 ,5080 ,43093000 ,5000 ,40751000 ,,,,,,,,,,,
13,E2N,2500 ,118493000 ,1270 ,30513000 ,660 ,4461000 ,170 ,3289000 ,1260 ,10507000 ,1150 ,8620000 ,,,,,,,,,,,
13,E2P,770 ,30216000 ,380 ,9298000 ,160 ,1611000 ,40 ,553000 ,360 ,3559000 ,320 ,2588000 ,,,,,,,,,,,
13,E2R,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,
13,E2S,3960 ,186432000 ,1710 ,38989000 ,860 ,4793000 ,280 ,3600000 ,2000 ,17466000 ,1750 ,12817000 ,,,,,,,,,,,
13,E2V,7990 ,381815000 ,3770 ,106497000 ,1590 ,7027000 ,490 ,4580000 ,2500 ,20398000 ,2850 ,22572000 ,,,,,,,,,,,
13,E3A,14760 ,663750000 ,8140 ,224619000 ,4770 ,43354000 ,1610 ,23594000 ,7100 ,58163000 ,7410 ,56389000 ,,,,,,,,,,,
13,E3B,20290 ,950770000 ,9550 ,321912000 ,7510 ,123483000 ,2310 ,36836000 ,7930 ,68170000 ,10140 ,81086000 ,,,,,,,,,,,
13,E3C,6750 ,359301000 ,3530 ,124048000 ,2660 ,28894000 ,750 ,14053000 ,2000 ,16752000 ,3230 ,24942000 ,,,,,,,,,,,
13,E3E,2340 ,128163000 ,1200 ,37533000 ,850 ,16279000 ,330 ,5840000 ,850 ,6999000 ,1190 ,9336000 ,,,,,,,,,,,
13,E3G,4690 ,239909000 ,2060 ,57269000 ,1490 ,15989000 ,560 ,8990000 ,1850 ,15549000 ,2190 ,17962000 ,,,,,,,,,,,
13,E3L,4140 ,159653000 ,2870 ,67459000 ,1210 ,12261000 ,530 ,5338000 ,2940 ,23190000 ,2090 ,22239000 ,,,,,,,,,,,
13,E3N,6480 ,235841000 ,5310 ,110186000 ,1600 ,18410000 ,520 ,5326000 ,5720 ,52622000 ,3010 ,22996000 ,,,,,,,,,,,
13,E3V,6080 ,241460000 ,4780 ,113196000 ,1730 ,20675000 ,540 ,8282000 ,4490 ,35145000 ,2650 ,22236000 ,,,,,,,,,,,
13,E3Y,3800 ,147260000 ,2490 ,45051000 ,950 ,10869000 ,430 ,5007000 ,2930 ,24189000 ,1570 ,11899000 ,,,,,,,,,,,
13,E3Z,2130 ,87349000 ,1510 ,30915000 ,660 ,19667000 ,220 ,2335000 ,1600 ,13195000 ,930 ,8171000 ,,,,,,,,,,,
13,E4A,1360 ,50954000 ,1360 ,26281000 ,420 ,2246000 ,150 ,1081000 ,1230 ,9645000 ,640 ,5321000 ,,,,,,,,,,,
13,E4B,1890 ,70069000 ,1730 ,36545000 ,470 ,4572000 ,180 ,1795000 ,1700 ,14691000 ,960 ,7388000 ,,,,,,,,,,,
13,E4C,890 ,32415000 ,990 ,24373000 ,380 ,4122000 ,170 ,1431000 ,730 ,6297000 ,520 ,4410000 ,,,,,,,,,,,
13,E4E,4430 ,173746000 ,3040 ,70386000 ,1640 ,16275000 ,550 ,6298000 ,2960 ,22733000 ,2370 ,20715000 ,,,,,,,,,,,
13,E4G,1350 ,51403000 ,810 ,16860000 ,470 ,3876000 ,250 ,2309000 ,840 ,6538000 ,700 ,5204000 ,,,,,,,,,,,
13,E4H,2060 ,71341000 ,1520 ,32530000 ,680 ,4721000 ,310 ,3149000 ,1560 ,14125000 ,980 ,8081000 ,,,,,,,,,,,
13,E4J,2460 ,91249000 ,1500 ,31458000 ,670 ,6509000 ,300 ,4322000 ,1590 ,12626000 ,1160 ,9271000 ,,,,,,,,,,,
13,E4K,3160 ,134983000 ,1910 ,44453000 ,750 ,8802000 ,360 ,4042000 ,1840 ,15760000 ,1180 ,9593000 ,,,,,,,,,,,
13,E4L,3720 ,155830000 ,2500 ,66555000 ,1520 ,14443000 ,560 ,7283000 ,2170 ,17435000 ,1920 ,16310000 ,,,,,,,,,,,
13,E4M,830 ,26231000 ,810 ,17140000 ,350 ,2857000 ,190 ,3244000 ,840 ,7742000 ,480 ,4189000 ,,,,,,,,,,,
