FSA,Employment Income #,Employment Income $,EmploymentIncomePP,Pension Income #,Pension Income $,PensionIncomePP,Investment Income #,Investment Income $,InvestmentIncomePP,Self-employment Income #,Self-employment Income $,SelfEmpIncomePP,Benefits Income #,Benefits Income $,BenefitIncomePP,Other Income #,Other Income $,OtherIncomePP
L6A,48500,2926382000,60338,13160,257693000,4271,27030,355839000,13165,9820,164850000,16787,18400,185053000,10057,28580,279030000,9763
L6B,17210,993394000,57722,4180,58707000,1017,9110,73020000,8015,3360,42913000,12772,6540,68935000,10541,10390,102604000,9875
L6C,24930,1601599000,64244,8110,127817000,1990,21020,315218000,14996,6050,108309000,17902,8670,90097000,10392,17280,180989000,10474
L6E,19070,1078350000,56547,5880,109219000,1931,12400,96031000,7744,3920,46320000,11816,7060,73876000,10464,11940,116793000,9782
L6G,3490,189520000,54304,1150,16922000,312,2400,20619000,8591,800,9842000,12303,1380,13788000,9991,2200,23489000,10677
L6H,37420,2695358000,72030,12270,376371000,5225,23480,358733000,15278,6780,166332000,24533,10710,101857000,9510,21830,242203000,11095
L6J,11900,1527446000,128357,5790,240780000,1876,11280,716401000,63511,2550,142394000,55841,2560,23744000,9275,8690,167864000,19317
L6K,6850,503414000,73491,3610,114213000,1554,4360,141437000,32440,1320,37665000,28534,3070,28641000,9329,4420,61139000,13832
L6L,14760,1186072000,80357,8110,305114000,3797,11560,286514000,24785,2840,81739000,28781,4420,38509000,8712,10080,116179000,11526
L6M,37520,3006442000,80129,9830,308311000,3848,23270,381904000,16412,6560,161514000,24621,9480,92121000,9717,21390,236886000,11075
L6P,55130,2329039000,42246,12230,133880000,3169,20940,207301000,9900,10250,114497000,11170,22100,230310000,10421,32660,283723000,8687
L6R,58840,2206105000,37493,12590,178487000,4761,17840,119228000,6683,9380,75482000,8047,22940,233072000,10160,32310,269022000,8326
L6S,31840,1359615000,42701,10800,264305000,6190,10860,86926000,8004,4710,47551000,10096,13720,132955000,9691,16980,147491000,8686
L6T,21670,874713000,40365,6980,140061000,3470,6040,36526000,6047,3010,18343000,6094,10600,102805000,9699,11390,101054000,8872
L6V,24050,965346000,40139,7220,144070000,3589,6790,32483000,4784,3650,29274000,8020,11160,107499000,9633,12980,110100000,8482
L6W,12690,559855000,44118,4880,124095000,2813,4710,48835000,10368,1880,21510000,11441,5820,55965000,9616,7020,63841000,9094
L6X,45980,2025858000,44060,9770,164526000,3734,14880,113605000,7635,7480,74072000,9903,17370,172586000,9936,24200,207391000,8570
L6Y,62120,2514490000,40478,14170,260418000,6434,20690,179559000,8679,10130,97516000,9626,22400,219169000,9784,32150,276825000,8610
L6Z,19950,954206000,47830,6160,156352000,3269,7360,81601000,11087,3180,36387000,11442,7760,74204000,9562,10570,97679000,9241
L7A,61190,2731172000,44634,9650,127264000,2851,18110,104356000,5762,9880,81530000,8252,21550,218903000,10158,32090,273549000,8524
L7B,8870,774842000,87355,3220,99176000,1135,6610,293338000,44378,2010,60102000,29901,2550,23985000,9406,6020,71207000,11828
L7C,18440,1017166000,55161,5460,131996000,2393,9020,164855000,18277,3520,52820000,15006,6230,60327000,9683,10620,98265000,9253
L7E,19790,1222910000,61794,6650,184352000,2983,9850,166071000,16860,2930,52908000,18057,7070,63734000,9015,10300,97367000,9453
L7G,27560,1839898000,66760,9650,297963000,4463,13280,196051000,14763,3850,76160000,19782,8680,76430000,8805,13930,148346000,10649
L7J,7740,441379000,57026,3120,84858000,1488,3210,46281000,14418,1150,15817000,13754,2940,25388000,8635,3670,34529000,9408
L7K,4550,282071000,61994,2100,72053000,1162,2520,77021000,30564,940,17141000,18235,1580,14027000,8878,2680,34079000,12716
L7L,25880,1813185000,70061,10030,342527000,4889,14050,242551000,17263,3830,91230000,23820,7650,69282000,9056,13580,147458000,10858
L7M,27050,1854408000,68555,10100,362152000,5283,14860,241737000,16268,3900,88435000,22676,7840,74109000,9453,14130,197806000,13999
L7N,6620,459683000,69439,4180,146113000,2104,4480,123499000,27567,1110,34670000,31234,2520,20823000,8263,4120,52340000,12704
